Generation,Population 1,Population 2
1,100,100
2,106,94
3,110,90
4,118,82
5,106,94
6,100,100
7,110,90
8,124,76
9,122,78
10,132,68
11,136,64
12,136,64
13,144,56
14,152,48
15,152,48
16,158,42
17,170,30
18,178,22
19,182,18
20,190,10
21,186,14
22,190,10
23,186,14
24,188,12
25,182,18
26,186,14
27,192,8
28,194,6
29,198,2
30,200,2
31,200,2
32,200,2
33,202,2
34,202,2
35,200,4
36,200,4
37,202,2
38,202,2
39,202,2
40,204,2
41,206,2
42,208,2
43,208,2
44,210,2
45,210,2
46,208,4
47,204,8
48,212,2
49,212,2
50,214,2
51,216,2
52,216,2
53,216,2
54,216,2
55,216,2
56,216,2
57,218,2
58,220,2
59,222,2
60,222,2
61,222,2
62,222,2
63,220,4
64,222,2
65,222,2
66,224,2
67,224,2
68,226,2
69,228,2
70,230,2
71,230,2
72,230,2
73,230,2
74,230,2
75,232,2
76,234,2
77,236,2
78,236,2
79,236,2
80,238,2
81,240,2
82,240,2
83,240,2
84,240,2
85,242,2
86,242,2
87,244,2
88,244,2
89,242,4
90,244,2
91,242,4
92,242,4
93,246,2
94,246,2
95,246,2
96,244,4
97,246,2
98,248,2
99,248,2
100,250,2
101,250,2
102,252,2
103,250,4
104,254,2
105,256,2
106,258,2
107,260,2
108,260,2
109,260,2
110,260,2
111,260,2
112,258,4
113,258,4
114,260,2
115,262,2
116,264,2
117,262,4
118,262,4
119,264,2
120,262,4
121,260,6
122,262,4
123,264,2
124,266,2
125,268,2
126,268,2
127,268,2
128,268,2
129,268,2
130,268,2
131,266,4
132,268,2
133,268,2
134,268,2
135,270,2
136,272,2
137,272,2
138,272,2
139,274,2
140,274,2
141,276,2
142,276,2
143,276,2
144,278,2
145,278,2
146,280,2
147,280,2
148,282,2
149,284,2
150,284,2
151,286,2
152,288,2
153,286,4
154,284,6
155,284,6
156,288,2
157,290,2
158,288,4
159,288,4
160,288,4
161,290,2
162,290,2
163,290,2
164,290,2
165,292,2
166,294,2
167,294,2
168,296,2
169,298,2
170,298,2
171,300,2
172,298,4
173,302,2
174,300,4
175,304,2
176,304,2
177,306,2
178,306,2
179,306,2
180,306,2
181,304,4
182,308,2
183,308,2
184,308,2
185,308,2
186,308,2
187,308,2
188,306,4
189,306,4
190,308,2
191,308,2
192,310,2
193,310,2
194,312,2
195,314,2
196,316,2
197,318,2
198,318,2
199,318,2
200,320,2
