Generation,Population 1,Population 2,Population 3,Population 4
1,50,50,50,50
2,52,48,40,60
3,54,44,38,64
4,58,44,28,70
5,70,32,26,72
6,80,26,34,60
7,82,22,36,60
8,88,20,32,60
9,80,24,32,64
10,80,24,26,70
11,76,26,26,72
12,74,24,24,78
13,72,22,24,82
14,82,20,28,70
15,100,16,30,54
16,112,14,26,48
17,116,16,20,48
18,118,22,14,46
19,120,24,10,46
20,120,26,8,46
21,118,30,10,42
22,118,36,8,38
23,110,40,10,40
24,104,44,6,46
25,102,46,6,46
26,104,44,8,44
27,108,38,6,48
28,112,34,8,46
29,112,46,4,38
30,100,52,6,42
31,94,62,2,42
32,98,58,2,42
33,108,54,2,36
34,108,60,2,30
35,102,64,2,34
36,94,74,2,34
37,102,74,4,24
38,96,80,2,26
39,96,84,2,22
40,102,80,2,22
41,86,86,4,30
42,80,90,4,32
43,86,88,2,30
44,84,86,2,36
45,94,74,2,40
46,104,68,4,34
47,106,58,2,44
48,118,46,2,46
49,116,48,2,48
50,120,40,2,52
51,118,44,2,52
52,106,48,2,60
53,118,38,2,60
54,118,40,2,58
55,124,34,2,60
56,126,32,2,62
57,116,34,2,72
58,116,44,2,62
59,92,50,2,82
60,84,54,2,86
61,76,52,2,96
62,70,64,2,92
63,64,70,2,94
64,68,74,2,88
65,76,76,2,80
66,96,76,2,62
67,100,64,2,70
68,110,58,2,68
69,120,48,2,70
70,134,46,2,60
71,138,54,2,48
72,158,44,2,40
73,174,42,2,28
74,184,34,2,28
75,184,36,2,28
76,196,42,2,10
77,190,46,4,10
78,198,40,2,10
79,202,40,2,6
80,200,42,2,6
81,212,32,2,6
82,212,34,2,4
83,214,36,2,2
84,210,42,2,2
85,204,48,2,4
86,192,60,2,6
87,198,50,2,10
88,194,50,2,14
89,214,32,2,14
90,226,18,2,18
91,230,16,2,18
92,234,12,2,20
93,238,14,2,16
94,238,14,2,18
95,246,12,2,14
96,252,8,2,14
97,246,12,2,16
98,240,14,4,18
99,232,16,4,24
100,238,12,2,26
101,244,10,2,22
102,254,8,2,16
103,250,10,2,18
104,254,12,2,14
105,268,6,2,8
106,268,8,2,6
107,270,10,2,4
108,274,10,2,2
109,272,14,2,2
110,266,20,2,4
111,276,12,2,2
112,284,6,2,2
113,284,6,2,2
114,290,4,2,2
115,294,4,2,2
116,294,6,2,2
117,300,4,2,2
118,300,4,2,2
119,298,4,4,2
120,298,6,2,4
121,302,4,2,2
122,304,6,2,2
123,310,4,2,2
124,312,2,2,2
125,314,2,2,2
126,316,2,2,2
127,320,2,2,2
128,324,2,2,2
129,326,2,4,2
130,328,2,4,2
131,332,2,4,2
132,332,2,4,4
133,338,2,2,2
134,344,2,2,2
135,348,2,2,2
136,352,2,2,2
137,358,2,2,2
138,360,2,2,2
139,358,2,2,4
140,360,2,2,4
141,364,2,2,2
142,368,2,2,2
143,370,2,2,2
144,370,2,2,2
145,368,2,2,4
146,372,2,2,2
147,372,2,2,2
148,376,2,2,2
149,372,4,4,2
150,372,6,2,2
151,370,6,4,2
152,376,4,2,2
153,380,2,2,2
154,382,2,2,2
155,384,2,2,2
156,384,2,2,4
157,386,2,2,2
158,390,2,2,2
159,390,2,2,4
160,394,2,2,2
161,400,2,2,2
162,404,2,2,2
163,404,2,2,2
164,408,2,2,2
165,406,2,4,4
166,408,2,2,4
167,406,2,4,4
168,408,2,4,4
169,408,2,4,6
170,406,2,8,4
171,412,2,8,2
172,412,2,10,2
173,412,2,12,2
174,410,2,14,2
175,410,2,14,2
176,418,2,10,2
177,416,4,12,2
178,416,4,14,2
179,412,4,20,2
180,408,4,24,2
181,412,2,22,2
182,412,2,26,2
183,414,2,26,2
184,412,2,28,2
185,414,2,28,2
186,424,2,20,2
187,426,2,20,2
188,432,2,14,2
189,434,2,16,2
190,442,2,8,2
191,440,4,8,2
192,448,2,4,2
193,448,2,4,4
194,452,2,4,2
195,454,2,2,4
196,456,2,2,4
197,462,2,2,2
198,462,2,2,2
199,464,2,2,2
200,470,2,2,2
