Generation,Population 1
1,0.4
2,0.525
3,0.475
4,0.55
5,0.475
6,0.425
7,0.45
8,0.525
9,0.5
10,0.6
11,0.525
12,0.625
13,0.65
14,0.5
15,0.575
16,0.525
17,0.675
18,0.625
19,0.575
20,0.625
21,0.7
22,0.55
23,0.6
24,0.675
25,0.675
26,0.6
27,0.65
28,0.6
29,0.525
30,0.825
31,0.625
32,0.625
33,0.725
34,0.675
35,0.65
36,0.65
37,0.575
38,0.75
39,0.75
40,0.725
41,0.575
42,0.6
43,0.725
44,0.6
45,0.725
46,0.675
47,0.75
48,0.8
49,0.7
50,0.8
51,0.725
52,0.65
53,0.65
54,0.65
55,0.825
56,0.85
57,0.775
58,0.725
59,0.775
60,0.75
61,0.625
62,0.7
63,0.725
64,0.825
65,0.675
66,0.575
67,0.55
68,0.725
69,0.7
70,0.775
71,0.75
72,0.625
73,0.775
74,0.475
75,0.725
76,0.6
77,0.625
78,0.625
79,0.65
80,0.7
81,0.7
82,0.675
83,0.65
84,0.75
85,0.675
86,0.7
87,0.725
88,0.525
89,0.725
90,0.7
91,0.675
92,0.725
93,0.625
94,0.75
95,0.65
96,0.85
97,0.775
98,0.725
99,0.75
100,0.65
101,0.85
102,0.75
103,0.75
104,0.925
105,0.775
106,0.775
107,0.675
108,0.775
109,0.7
110,0.675
111,0.6
112,0.7
113,0.75
114,0.675
115,0.775
116,0.775
117,0.725
118,0.575
119,0.75
120,0.75
121,0.775
122,0.7
123,0.675
124,0.75
125,0.65
126,0.6
127,0.675
128,0.75
129,0.65
130,0.7
131,0.8
132,0.775
133,0.725
134,0.6
135,0.7
136,0.825
137,0.625
138,0.75
139,0.7
140,0.75
141,0.575
142,0.7
143,0.775
144,0.875
145,0.8
146,0.75
147,0.725
148,0.75
149,0.625
150,0.725
151,0.7
152,0.675
153,0.85
154,0.675
155,0.8
156,0.825
157,0.725
158,0.825
159,0.775
160,0.6
161,0.625
162,0.85
163,0.775
164,0.675
165,0.725
166,0.65
167,0.8
168,0.7
169,0.775
170,0.75
171,0.7
172,0.8
173,0.675
174,0.775
175,0.825
176,0.625
177,0.575
178,0.75
179,0.75
180,0.675
181,0.725
182,0.65
183,0.75
184,0.775
185,0.6
186,0.625
187,0.675
188,0.8
189,0.75
190,0.9
191,0.725
192,0.775
193,0.675
194,0.775
195,0.75
196,0.7
197,0.65
198,0.75
199,0.85
200,0.7
201,0.75
202,0.8
203,0.65
204,0.75
205,0.625
206,0.6
207,0.725
208,0.725
209,0.775
210,0.75
211,0.65
212,0.8
213,0.775
214,0.475
215,0.825
216,0.75
217,0.55
218,0.675
219,0.7
220,0.55
221,0.75
222,0.7
223,0.75
224,0.75
225,0.825
226,0.8
227,0.625
228,0.75
229,0.725
230,0.7
231,0.8
232,0.8
233,0.75
234,0.675
235,0.8
236,0.775
237,0.625
238,0.825
239,0.725
240,0.775
241,0.7
242,0.725
243,0.675
244,0.75
245,0.75
246,0.65
247,0.6
248,0.725
249,0.7
250,0.675
251,0.7
252,0.7
253,0.575
254,0.625
255,0.75
256,0.675
257,0.65
258,0.575
259,0.725
260,0.65
