Generation,Population 1
1,0.0075
2,0.0
3,0.03
4,0.0475
5,0.05
6,0.06
7,0.065
8,0.07
9,0.0725
10,0.09
11,0.085
12,0.0725
13,0.0575
14,0.0625
15,0.0975
16,0.0825
17,0.0625
18,0.0875
19,0.095
20,0.0675
21,0.095
22,0.08
23,0.09
24,0.1
25,0.1
26,0.0825
27,0.0875
28,0.0975
29,0.095
30,0.09
31,0.12
32,0.1275
33,0.085
34,0.0825
35,0.0925
36,0.115
37,0.1
38,0.13
39,0.0625
40,0.115
41,0.155
42,0.115
43,0.0825
44,0.12
45,0.0925
46,0.0775
47,0.1025
48,0.1125
49,0.055
50,0.065
51,0.0725
52,0.07
53,0.0975
54,0.09
55,0.11
56,0.11
57,0.125
58,0.12
59,0.115
60,0.1175
61,0.115
62,0.1075
63,0.13
64,0.1
65,0.09
66,0.1025
67,0.0875
68,0.1125
69,0.0875
70,0.1175
71,0.1075
72,0.095
73,0.1125
74,0.0925
75,0.0975
76,0.095
77,0.085
78,0.0875
79,0.08
80,0.0975
81,0.12
82,0.14
83,0.12
84,0.105
85,0.1125
86,0.12
87,0.11
88,0.1075
89,0.1375
90,0.0875
91,0.1175
92,0.105
93,0.0925
94,0.09
95,0.095
96,0.115
97,0.0875
98,0.0725
99,0.1125
100,0.125
101,0.105
102,0.1475
103,0.135
104,0.1275
105,0.1275
106,0.085
107,0.1225
108,0.11
109,0.1
110,0.1
111,0.1
112,0.13
113,0.08
114,0.1075
115,0.085
116,0.0575
117,0.1075
118,0.12
119,0.1125
120,0.115
121,0.1
122,0.115
123,0.1125
124,0.1
125,0.0775
126,0.0975
127,0.0925
128,0.115
129,0.0975
130,0.1375
131,0.0925
132,0.1025
133,0.12
134,0.1375
135,0.1175
136,0.09
137,0.1125
138,0.0975
139,0.095
140,0.0825
141,0.115
142,0.1375
143,0.12
144,0.095
145,0.1475
146,0.1125
147,0.1225
148,0.1225
149,0.085
150,0.1075
151,0.11
152,0.115
153,0.0925
154,0.1
155,0.105
156,0.135
157,0.0875
158,0.1075
159,0.0925
160,0.0875
161,0.1225
162,0.1125
163,0.1175
164,0.09
165,0.09
166,0.1025
167,0.07
168,0.0875
169,0.105
170,0.12
171,0.1025
172,0.1175
173,0.1
174,0.135
175,0.13
176,0.11
177,0.105
178,0.115
179,0.075
180,0.1175
181,0.1175
182,0.075
183,0.0975
184,0.125
185,0.1175
186,0.105
187,0.1
188,0.1525
189,0.115
190,0.1
191,0.1075
192,0.1225
193,0.115
194,0.095
195,0.135
196,0.1175
197,0.1
198,0.1025
199,0.14
200,0.125
