Generation,Population 1,Population 2
1,100,100
2,104,96
3,100,100
4,106,94
5,112,88
6,116,84
7,116,84
8,108,92
9,120,80
10,130,70
11,128,72
12,130,70
13,128,72
14,134,66
15,142,58
16,146,54
17,156,44
18,166,34
19,168,32
20,172,28
21,176,24
22,180,20
23,174,26
24,172,28
25,178,22
26,176,24
27,180,20
28,176,24
29,180,20
30,184,16
31,176,24
32,178,22
33,174,26
34,168,32
35,162,38
36,160,40
37,158,42
38,156,44
39,162,38
40,160,40
41,156,44
42,154,46
43,142,58
44,142,58
45,142,58
46,138,62
47,138,62
48,146,54
49,146,54
50,148,52
51,154,46
52,158,42
53,164,36
54,168,32
55,172,28
56,172,28
57,178,22
58,176,24
59,180,20
60,190,10
61,192,8
62,190,10
63,194,6
64,194,6
65,192,8
66,190,10
67,190,10
68,192,8
69,196,4
70,198,2
71,196,4
72,200,2
73,202,2
74,204,2
75,206,2
76,208,2
77,210,2
78,212,2
79,214,2
80,214,2
81,216,2
82,214,4
83,218,2
84,218,2
85,220,2
86,222,2
87,224,2
88,226,2
89,228,2
90,230,2
91,232,2
92,234,2
93,236,2
94,238,2
95,240,2
96,240,2
97,242,2
98,244,2
99,246,2
100,244,4
101,248,2
102,250,2
103,252,2
104,254,2
105,252,4
106,254,2
107,254,2
108,256,2
109,258,2
110,260,2
111,260,2
112,262,2
113,264,2
114,266,2
115,268,2
116,270,2
117,272,2
118,274,2
119,276,2
120,276,2
121,278,2
122,280,2
123,282,2
124,284,2
125,286,2
126,288,2
127,286,4
128,288,2
129,286,4
130,288,2
131,286,4
132,288,2
133,288,2
134,290,2
135,292,2
136,292,2
137,294,2
138,296,2
139,296,2
140,296,2
141,298,2
142,300,2
143,302,2
144,304,2
145,306,2
146,308,2
147,310,2
148,312,2
149,310,4
150,314,2
151,316,2
152,318,2
153,318,2
154,318,2
155,318,2
156,318,2
157,318,2
158,320,2
159,322,2
160,322,2
161,324,2
162,324,2
163,324,2
164,326,2
165,328,2
166,330,2
167,332,2
168,334,2
169,336,2
170,334,4
171,336,2
172,338,2
173,340,2
174,342,2
175,342,2
176,344,2
177,346,2
178,346,2
179,346,2
180,346,2
181,348,2
182,346,4
183,346,4
184,348,2
185,350,2
186,352,2
187,354,2
188,354,2
189,356,2
190,358,2
191,360,2
192,360,2
193,360,2
194,360,2
195,360,2
196,360,2
197,360,2
198,362,2
199,364,2
200,366,2
