Generation,Population 1,Population 2,Population 3,Population 4
1,50,50,50,50
2,62,46,62,30
3,58,48,64,30
4,58,44,64,34
5,62,40,70,28
6,58,38,70,34
7,52,32,80,36
8,46,36,76,42
9,40,34,78,48
10,42,24,82,52
11,36,26,90,48
12,34,24,104,38
13,38,16,110,36
14,42,20,102,36
15,44,18,98,40
16,40,24,90,46
17,52,26,76,46
18,50,28,62,60
19,48,34,50,68
20,46,30,42,82
21,48,34,32,86
22,36,38,24,102
23,20,42,22,116
24,16,46,18,120
25,10,52,14,124
26,4,52,10,134
27,4,46,12,138
28,2,68,14,116
29,2,70,16,114
30,2,74,16,112
31,2,80,8,114
32,2,90,4,110
33,2,106,6,94
34,2,110,8,90
35,2,118,8,84
36,2,126,6,78
37,2,130,8,74
38,2,148,6,60
39,2,156,4,56
40,2,154,2,62
41,2,150,2,70
42,2,146,2,76
43,2,148,2,78
44,2,152,2,76
45,2,162,2,66
46,2,156,4,70
47,2,166,2,64
48,2,172,2,60
49,2,178,2,56
50,2,174,2,60
51,2,176,2,62
52,2,176,2,62
53,2,190,2,48
54,2,188,4,48
55,2,184,2,54
56,2,190,2,52
57,2,188,2,56
58,2,196,2,52
59,2,202,2,50
60,2,206,2,46
61,2,224,2,32
62,2,228,2,32
63,2,228,2,34
64,2,222,2,44
65,2,226,2,42
66,4,226,2,40
67,2,238,2,34
68,2,240,2,36
69,2,230,2,50
70,2,228,2,54
71,2,232,2,50
72,2,228,2,56
73,2,228,2,56
74,2,232,2,56
75,2,232,4,54
76,2,234,4,54
77,2,244,2,50
78,4,236,2,58
79,2,228,2,70
80,2,246,2,56
81,2,252,2,54
82,2,248,2,60
83,2,238,2,74
84,2,232,2,82
85,2,228,2,88
86,2,214,2,104
87,2,236,2,82
88,2,242,2,78
89,2,238,4,80
90,2,222,4,96
91,2,222,4,98
92,2,218,2,106
93,2,224,2,102
94,2,228,2,98
95,2,246,2,82
96,2,256,2,74
97,2,270,2,62
98,2,286,2,50
99,2,304,2,36
100,4,310,2,30
101,4,314,2,26
102,6,308,2,30
103,6,308,2,30
104,2,312,2,32
105,2,304,2,42
106,4,296,2,50
107,2,292,2,58
108,2,294,2,60
109,2,292,2,64
110,2,288,2,72
111,2,280,2,84
112,2,280,2,88
113,2,296,2,76
114,2,302,2,72
115,2,310,2,66
116,2,302,2,76
117,2,292,2,88
118,2,294,2,90
119,2,306,2,82
120,2,310,2,80
121,2,318,4,72
122,2,342,2,52
123,2,360,2,38
124,2,366,2,34
125,2,370,2,34
126,2,370,4,32
127,2,378,2,26
128,2,386,2,20
129,2,390,2,18
130,2,404,2,8
131,2,408,2,8
132,2,416,2,2
133,2,416,2,4
134,2,422,2,2
135,2,422,2,4
136,2,426,4,2
137,2,432,2,2
138,2,438,2,2
139,2,442,2,2
140,2,448,2,2
141,2,452,2,2
142,2,456,2,2
143,2,458,2,2
144,2,462,2,2
145,2,466,2,2
146,2,466,2,2
147,2,470,2,2
148,2,476,2,2
149,2,480,2,2
150,2,482,2,2
151,2,482,2,4
152,2,484,2,6
153,2,488,2,4
154,2,492,2,4
155,2,496,2,4
156,2,504,2,2
157,2,510,2,2
158,2,516,2,2
159,2,522,2,2
160,2,528,2,2
161,2,532,2,2
162,2,538,2,2
163,2,544,2,2
164,2,550,2,2
165,2,554,2,2
166,2,558,2,2
167,2,560,4,2
168,2,564,2,2
169,2,568,2,2
170,2,572,2,2
171,2,574,2,2
172,2,580,2,2
173,2,584,2,2
174,2,588,2,2
175,2,586,4,2
176,2,594,2,2
177,2,596,2,2
178,2,598,2,4
179,2,604,2,2
180,2,604,4,2
181,2,608,2,2
182,2,610,2,2
183,2,612,2,2
184,4,610,2,4
185,4,614,2,2
186,2,618,2,2
187,2,622,2,2
188,2,624,2,2
189,2,630,2,2
190,2,634,2,2
191,2,638,2,2
192,2,642,2,2
193,2,646,2,2
194,2,650,2,2
195,2,652,2,2
196,2,652,2,2
197,2,652,2,2
198,2,658,2,2
199,2,660,2,2
200,2,660,2,2
