Generation,Population 1
1,0.0125
2,0.0475
3,0.0675
4,0.06
5,0.0475
6,0.0525
7,0.065
8,0.0525
9,0.06
10,0.0825
11,0.1
12,0.075
13,0.0825
14,0.08
15,0.0825
16,0.085
17,0.08
18,0.08
19,0.0875
20,0.09
21,0.0875
22,0.1125
23,0.12
24,0.1325
25,0.145
26,0.0975
27,0.1175
28,0.1425
29,0.16
30,0.1325
31,0.175
32,0.195
33,0.16
34,0.195
35,0.185
36,0.1725
37,0.19
38,0.1425
39,0.1675
40,0.1725
41,0.165
42,0.1675
43,0.1675
44,0.1775
45,0.1625
46,0.1525
47,0.19
48,0.15
49,0.15
50,0.1875
51,0.1525
52,0.175
53,0.1475
54,0.1775
55,0.165
56,0.165
57,0.1875
58,0.1675
59,0.19
60,0.16
61,0.1575
62,0.1925
63,0.2075
64,0.2
65,0.185
66,0.1725
67,0.1625
68,0.145
69,0.145
70,0.1375
71,0.1725
72,0.17
73,0.1175
74,0.1425
75,0.19
76,0.155
77,0.18
78,0.1875
79,0.175
80,0.2
81,0.19
82,0.1875
83,0.1775
84,0.15
85,0.1425
86,0.165
87,0.185
88,0.16
89,0.2
90,0.2
91,0.16
92,0.195
93,0.1975
94,0.185
95,0.21
96,0.1925
97,0.1675
98,0.1775
99,0.2225
100,0.1725
101,0.1825
102,0.16
103,0.1775
104,0.16
105,0.165
106,0.19
107,0.17
108,0.1625
109,0.1875
110,0.1725
111,0.175
112,0.215
113,0.175
114,0.215
115,0.1775
116,0.1575
117,0.1775
118,0.2
119,0.15
120,0.1775
121,0.175
122,0.1725
123,0.1675
124,0.185
125,0.1925
126,0.185
127,0.15
128,0.1825
129,0.1475
130,0.2075
131,0.19
132,0.1625
133,0.1725
134,0.1725
135,0.17
136,0.1775
137,0.1825
138,0.1775
139,0.1725
140,0.18
141,0.2
142,0.1825
143,0.1625
144,0.18
145,0.245
146,0.1925
147,0.205
148,0.2025
149,0.1925
150,0.1975
151,0.1775
152,0.2125
153,0.1875
154,0.175
155,0.1775
156,0.155
157,0.15
158,0.16
159,0.1325
160,0.1425
161,0.12
162,0.14
163,0.165
164,0.155
165,0.18
166,0.1575
167,0.155
168,0.1725
169,0.165
170,0.1525
171,0.175
172,0.15
173,0.175
174,0.1625
175,0.1825
176,0.17
177,0.1825
178,0.175
179,0.2075
180,0.2075
181,0.175
182,0.1925
183,0.1775
184,0.2025
185,0.2
186,0.1925
187,0.1475
188,0.1525
189,0.1525
190,0.19
191,0.17
192,0.19
193,0.21
194,0.23
195,0.1875
196,0.195
197,0.185
198,0.205
199,0.22
200,0.18
