Generation,Population 1
1,0.1825
2,0.14
3,0.105
4,0.115
5,0.115
6,0.0975
7,0.13
8,0.1075
9,0.1
10,0.1275
11,0.105
12,0.1025
13,0.1
14,0.1125
15,0.1075
16,0.1125
17,0.12
18,0.1
19,0.1075
20,0.09
21,0.1
22,0.0875
23,0.085
24,0.11
25,0.0975
26,0.105
27,0.11
28,0.135
29,0.13
30,0.14
31,0.135
32,0.12
33,0.13
34,0.14
35,0.1425
36,0.1375
37,0.14
38,0.1475
39,0.1575
40,0.12
41,0.12
42,0.1275
43,0.165
44,0.16
45,0.1675
46,0.1325
47,0.12
48,0.1475
49,0.1375
50,0.1575
51,0.1375
52,0.1275
53,0.1425
54,0.1525
55,0.175
56,0.155
57,0.1525
58,0.19
59,0.205
60,0.17
61,0.2075
62,0.2075
63,0.225
64,0.205
65,0.2375
66,0.2175
67,0.2225
68,0.235
69,0.2175
70,0.235
71,0.2575
72,0.2475
73,0.2675
74,0.2575
75,0.3075
76,0.2825
77,0.265
78,0.3
79,0.28
80,0.3075
81,0.3275
82,0.325
83,0.335
84,0.31
85,0.3225
86,0.325
87,0.3575
88,0.3375
89,0.35
90,0.4025
91,0.3375
92,0.36
93,0.375
94,0.37
95,0.3525
96,0.3475
97,0.4
98,0.3675
99,0.405
100,0.355
101,0.3375
102,0.405
103,0.3725
104,0.415
105,0.385
106,0.3775
107,0.38
108,0.35
109,0.4
110,0.3675
111,0.395
112,0.41
113,0.3725
114,0.3975
115,0.3725
116,0.3825
117,0.39
118,0.4175
119,0.43
120,0.455
121,0.4275
122,0.425
123,0.4625
124,0.4175
125,0.4325
126,0.3725
127,0.455
128,0.395
129,0.3925
130,0.3825
131,0.45
132,0.425
133,0.4075
134,0.4475
135,0.4325
136,0.42
137,0.415
138,0.4675
139,0.395
140,0.45
141,0.4425
142,0.375
143,0.41
144,0.4075
145,0.41
146,0.46
147,0.44
148,0.415
149,0.46
150,0.4075
151,0.4275
152,0.475
153,0.415
154,0.4225
155,0.365
156,0.3925
157,0.455
158,0.4375
159,0.3625
160,0.385
161,0.41
162,0.43
163,0.3925
164,0.3875
165,0.4075
166,0.3675
167,0.3875
168,0.385
169,0.34
170,0.4025
171,0.4425
172,0.3925
173,0.3775
174,0.4025
175,0.3825
176,0.395
177,0.415
178,0.405
179,0.37
180,0.3975
181,0.43
182,0.3625
183,0.4275
184,0.405
185,0.435
186,0.425
187,0.3875
188,0.465
189,0.46
190,0.435
191,0.4475
192,0.4675
193,0.4225
194,0.395
195,0.4425
196,0.425
197,0.4175
198,0.4725
199,0.4575
200,0.4225
201,0.4175
202,0.435
203,0.395
204,0.4775
