Generation,Population 1
1,0.03
2,0.0525
3,0.0425
4,0.0325
5,0.06
6,0.0475
7,0.07
8,0.0425
9,0.045
10,0.0625
11,0.0475
12,0.0575
13,0.075
14,0.0525
15,0.065
16,0.0575
17,0.0475
18,0.0575
19,0.0475
20,0.05
21,0.0625
22,0.07
23,0.0825
24,0.0875
25,0.09
26,0.085
27,0.075
28,0.0875
29,0.0875
30,0.1025
31,0.085
32,0.085
33,0.1125
34,0.07
35,0.12
36,0.115
37,0.13
38,0.11
39,0.1375
40,0.1675
41,0.18
42,0.165
43,0.1775
44,0.17
45,0.18
46,0.195
47,0.195
48,0.2025
49,0.18
50,0.1875
51,0.17
52,0.1675
53,0.165
54,0.1675
55,0.185
56,0.17
57,0.205
58,0.1875
59,0.155
60,0.1925
61,0.185
62,0.2
63,0.205
64,0.165
65,0.1775
66,0.215
67,0.185
68,0.24
69,0.2575
70,0.235
71,0.22
72,0.2575
73,0.2625
74,0.275
75,0.2375
76,0.2525
77,0.2375
78,0.2325
79,0.2975
80,0.29
81,0.2975
82,0.2625
83,0.28
84,0.2425
85,0.225
86,0.3
87,0.3175
88,0.325
89,0.3475
90,0.28
91,0.2925
92,0.3275
93,0.3275
94,0.2875
95,0.3275
96,0.3275
97,0.3625
98,0.34
99,0.33
100,0.3425
101,0.3475
102,0.3675
103,0.335
104,0.33
105,0.3475
106,0.3275
107,0.3275
108,0.3625
109,0.3425
110,0.3425
111,0.3325
112,0.35
113,0.3575
114,0.3825
115,0.345
116,0.335
117,0.3075
118,0.32
119,0.325
120,0.36
121,0.3575
122,0.3975
123,0.4275
124,0.4
125,0.3975
126,0.3525
127,0.3825
128,0.43
129,0.4375
130,0.4275
131,0.3875
132,0.4525
133,0.4275
134,0.3525
135,0.4675
136,0.3925
137,0.41
138,0.42
139,0.405
140,0.3775
141,0.3625
142,0.415
143,0.4025
144,0.37
145,0.4125
146,0.4
147,0.4325
148,0.3925
149,0.3425
150,0.375
151,0.4175
152,0.3975
153,0.3825
154,0.37
155,0.3675
156,0.3525
157,0.3725
158,0.405
159,0.3725
160,0.415
161,0.42
162,0.3475
163,0.4025
164,0.4025
165,0.405
166,0.3925
167,0.4125
168,0.3525
169,0.3975
170,0.4325
171,0.3675
172,0.3575
173,0.3575
174,0.38
175,0.3725
176,0.385
177,0.39
178,0.3775
179,0.3425
180,0.415
181,0.4125
182,0.3675
183,0.3875
184,0.44
185,0.43
186,0.44
187,0.4425
188,0.4
189,0.44
190,0.45
191,0.44
192,0.4125
193,0.4725
194,0.4275
195,0.415
196,0.425
197,0.4325
198,0.4425
199,0.4
200,0.45
201,0.465
202,0.4
203,0.425
204,0.4125
205,0.4125
206,0.4325
207,0.4475
208,0.405
209,0.41
210,0.43
211,0.385
212,0.45
213,0.435
214,0.42
215,0.3725
216,0.45
217,0.4
218,0.3725
219,0.4075
220,0.4
221,0.4025
222,0.45
223,0.415
224,0.4525
225,0.435
226,0.4
227,0.435
228,0.44
229,0.4625
230,0.4075
231,0.4
232,0.415
233,0.4575
234,0.46
235,0.375
236,0.3875
237,0.4425
238,0.3925
239,0.4325
240,0.4775
241,0.4125
242,0.4075
243,0.3925
244,0.43
245,0.4525
246,0.43
247,0.4175
248,0.41
249,0.4275
250,0.44
251,0.4375
252,0.405
253,0.4075
254,0.4075
255,0.395
256,0.38
257,0.395
258,0.3775
259,0.43
260,0.365
261,0.4075
262,0.405
263,0.45
264,0.3825
265,0.4325
266,0.4125
267,0.425
268,0.4375
269,0.3875
270,0.405
271,0.43
272,0.445
273,0.4325
274,0.4275
275,0.4025
276,0.3925
277,0.435
278,0.425
279,0.455
280,0.4525
281,0.4375
282,0.4225
283,0.4475
284,0.4225
285,0.3875
286,0.4375
287,0.435
288,0.435
289,0.405
290,0.4425
291,0.4375
292,0.39
293,0.455
294,0.44
295,0.4275
296,0.4125
297,0.43
298,0.4125
299,0.455
300,0.4725
301,0.42
302,0.4325
303,0.4075
304,0.4475
305,0.455
306,0.4175
307,0.42
308,0.4775
309,0.405
310,0.39
311,0.425
312,0.5025
313,0.4375
314,0.4525
315,0.44
316,0.45
317,0.4375
318,0.4275
319,0.4475
320,0.45
321,0.415
322,0.4725
323,0.4175
324,0.45
325,0.44
326,0.4375
327,0.3825
328,0.425
329,0.43
330,0.445
331,0.405
332,0.42
333,0.4
334,0.4475
335,0.4175
336,0.42
337,0.4325
338,0.455
339,0.4175
340,0.47
341,0.44
342,0.4825
343,0.4475
344,0.42
345,0.4425
346,0.4425
347,0.42
348,0.4075
349,0.445
350,0.4625
351,0.4225
352,0.4325
353,0.4175
354,0.4075
355,0.435
356,0.425
357,0.435
358,0.4375
359,0.39
360,0.41
361,0.3925
362,0.425
363,0.38
364,0.45
365,0.455
366,0.445
367,0.4025
368,0.4225
369,0.4525
370,0.415
371,0.4475
372,0.4
373,0.4175
374,0.435
375,0.3975
376,0.4275
377,0.43
378,0.44
379,0.4175
380,0.4225
381,0.4325
382,0.39
383,0.46
384,0.44
385,0.4525
386,0.4275
387,0.47
388,0.4275
389,0.4525
390,0.4625
391,0.455
392,0.4325
393,0.39
394,0.4025
395,0.4025
396,0.425
397,0.45
398,0.445
399,0.4275
400,0.4275
401,0.405
402,0.435
403,0.4
404,0.4025
405,0.4
406,0.3725
407,0.425
408,0.3925
409,0.4825
410,0.45
411,0.45
412,0.415
413,0.49
414,0.4
415,0.4175
416,0.4175
417,0.4275
418,0.4325
419,0.4175
420,0.425
421,0.42
422,0.42
423,0.4225
424,0.445
425,0.44
426,0.4075
427,0.4025
428,0.43
429,0.4225
430,0.3825
431,0.3975
432,0.44
433,0.4075
434,0.435
435,0.4275
436,0.405
437,0.425
438,0.415
439,0.4075
440,0.375
441,0.4175
442,0.4125
443,0.445
444,0.395
445,0.435
446,0.42
447,0.43
448,0.4375
449,0.4475
450,0.4175
451,0.4125
452,0.395
453,0.4375
454,0.4175
455,0.39
456,0.4075
457,0.4125
458,0.3975
459,0.4075
460,0.43
461,0.42
462,0.3875
463,0.4225
464,0.42
465,0.4425
466,0.385
467,0.385
468,0.4125
469,0.4425
470,0.3975
471,0.4575
472,0.4075
473,0.42
474,0.455
475,0.3975
476,0.4375
477,0.42
478,0.425
479,0.37
480,0.415
481,0.37
482,0.3825
483,0.3975
484,0.39
485,0.3675
486,0.485
487,0.4075
488,0.325
489,0.395
490,0.4175
491,0.39
492,0.4125
493,0.41
494,0.4225
495,0.4175
496,0.42
497,0.43
498,0.3975
499,0.4025
500,0.3775
501,0.37
502,0.385
503,0.375
504,0.3725
505,0.42
506,0.415
507,0.4225
508,0.405
509,0.3925
510,0.4025
511,0.4275
512,0.3675
513,0.4225
514,0.3775
515,0.355
516,0.4125
517,0.395
518,0.385
519,0.41
520,0.42
521,0.4175
522,0.42
523,0.415
524,0.4575
525,0.4625
526,0.4475
527,0.385
528,0.375
529,0.39
530,0.42
531,0.3975
532,0.38
533,0.42
534,0.39
535,0.415
536,0.3725
537,0.4525
538,0.415
539,0.4025
540,0.4325
541,0.455
542,0.485
543,0.465
544,0.405
545,0.4475
546,0.3875
547,0.4625
548,0.41
549,0.43
550,0.3925
551,0.43
552,0.445
553,0.4075
554,0.4275
555,0.405
556,0.405
557,0.385
558,0.38
559,0.4075
560,0.355
561,0.3975
562,0.3575
563,0.3825
564,0.395
565,0.3375
566,0.3275
567,0.3725
568,0.3925
569,0.325
570,0.375
571,0.3825
572,0.35
573,0.3625
574,0.3475
575,0.38
576,0.3675
577,0.4275
578,0.4
579,0.3875
580,0.37
581,0.3925
582,0.3625
583,0.395
584,0.4075
585,0.38
586,0.4025
587,0.385
588,0.4
589,0.3025
590,0.375
591,0.4075
592,0.3775
593,0.3825
594,0.4125
595,0.3425
596,0.395
597,0.3775
598,0.435
599,0.3975
600,0.39
601,0.3725
602,0.3825
603,0.3675
604,0.405
605,0.3675
606,0.395
607,0.34
608,0.3875
609,0.3475
610,0.3825
611,0.375
