Generation,Population 1
1,0.0175
2,0.0325
3,0.045
4,0.0325
5,0.0425
6,0.0575
7,0.0725
8,0.09
9,0.0775
10,0.08
11,0.065
12,0.0875
13,0.08
14,0.09
15,0.0725
16,0.1
17,0.08
18,0.0975
19,0.09
20,0.0925
21,0.1025
22,0.0875
23,0.075
24,0.0875
25,0.0775
26,0.075
27,0.075
28,0.075
29,0.0575
30,0.0825
31,0.0775
32,0.1025
33,0.08
34,0.0625
35,0.0625
36,0.0625
37,0.075
38,0.075
39,0.1125
40,0.0875
41,0.09
42,0.1075
43,0.0925
44,0.08
45,0.09
46,0.1425
47,0.1575
48,0.1325
49,0.1375
50,0.1325
51,0.1925
52,0.1725
53,0.2
54,0.1925
55,0.1475
56,0.175
57,0.2275
58,0.1875
59,0.215
60,0.2425
61,0.245
62,0.23
63,0.2625
64,0.25
65,0.2425
66,0.2925
67,0.2725
68,0.3425
69,0.2925
70,0.355
71,0.3475
72,0.2925
73,0.335
74,0.335
75,0.345
76,0.34
77,0.3525
78,0.3775
79,0.3575
80,0.3925
81,0.345
82,0.37
83,0.3825
84,0.365
85,0.38
86,0.375
87,0.4075
88,0.4
89,0.41
90,0.4325
91,0.46
92,0.455
93,0.4125
94,0.4
95,0.435
96,0.41
97,0.45
98,0.4125
99,0.435
100,0.46
101,0.4125
102,0.4125
103,0.4275
104,0.435
105,0.4875
106,0.42
107,0.475
108,0.415
109,0.4675
110,0.4475
111,0.48
112,0.4425
113,0.4575
114,0.485
115,0.4575
116,0.435
117,0.495
118,0.4625
119,0.4275
120,0.425
121,0.4675
122,0.4575
123,0.4375
124,0.495
125,0.4375
126,0.39
127,0.38
128,0.4025
129,0.4275
130,0.425
131,0.425
132,0.4325
133,0.46
134,0.4325
135,0.4175
136,0.395
137,0.405
138,0.435
139,0.375
140,0.41
141,0.3575
142,0.38
143,0.4475
144,0.4375
145,0.4575
146,0.4825
147,0.4375
148,0.445
149,0.4375
150,0.4525
151,0.4525
152,0.4225
153,0.45
154,0.5025
155,0.44
156,0.4275
157,0.4225
158,0.45
159,0.415
160,0.4725
161,0.4075
162,0.4375
163,0.505
164,0.45
165,0.475
166,0.4625
167,0.44
168,0.4325
169,0.495
170,0.4675
171,0.4725
172,0.49
173,0.4675
174,0.4925
175,0.4825
176,0.505
177,0.445
178,0.495
179,0.47
180,0.4825
181,0.4925
182,0.545
183,0.51
184,0.4725
185,0.48
186,0.5
187,0.505
188,0.4875
189,0.5125
190,0.495
191,0.4525
192,0.4675
193,0.5125
194,0.4625
195,0.5025
196,0.4675
197,0.485
198,0.5025
199,0.515
200,0.4875
201,0.5
202,0.4525
203,0.51
204,0.4625
205,0.4825
206,0.51
207,0.4775
208,0.515
209,0.4825
210,0.5075
211,0.5125
212,0.505
213,0.525
214,0.485
215,0.4725
216,0.4875
217,0.45
218,0.5025
219,0.495
220,0.475
221,0.4825
222,0.455
223,0.4825
224,0.51
225,0.4975
226,0.495
227,0.505
228,0.475
229,0.4825
230,0.45
231,0.495
232,0.5025
233,0.4975
234,0.46
235,0.465
236,0.5125
237,0.4975
238,0.53
239,0.5025
240,0.505
241,0.48
242,0.5225
243,0.47
244,0.5375
245,0.48
246,0.4925
247,0.535
248,0.46
249,0.52
250,0.5275
251,0.4875
252,0.4925
253,0.46
254,0.485
255,0.5225
256,0.52
257,0.4725
258,0.4975
259,0.47
260,0.5025
261,0.46
262,0.49
263,0.5075
264,0.5275
265,0.4775
266,0.4275
267,0.485
268,0.4875
269,0.4675
270,0.505
271,0.4925
272,0.5375
273,0.5
274,0.49
275,0.485
276,0.5175
277,0.4975
278,0.515
279,0.4925
280,0.525
281,0.455
282,0.515
283,0.515
284,0.4625
285,0.5125
286,0.5
287,0.46
288,0.4725
289,0.48
290,0.5
291,0.505
292,0.505
293,0.54
294,0.4775
295,0.4675
296,0.5125
297,0.515
298,0.5125
299,0.5425
300,0.4725
301,0.5275
302,0.4975
303,0.5025
304,0.4625
305,0.47
306,0.4975
307,0.5175
308,0.52
309,0.49
310,0.505
311,0.5075
312,0.495
313,0.525
314,0.4725
315,0.5075
316,0.4875
317,0.4675
318,0.485
319,0.485
320,0.475
321,0.4825
322,0.4825
323,0.505
324,0.4925
325,0.5175
326,0.4875
327,0.5075
328,0.4975
329,0.475
330,0.475
331,0.4925
332,0.4775
333,0.4875
334,0.515
335,0.575
336,0.475
337,0.5
338,0.5175
339,0.5475
340,0.4775
341,0.5075
342,0.5425
343,0.4925
344,0.4875
345,0.5125
346,0.5275
347,0.5025
348,0.5175
349,0.5
350,0.4475
351,0.4975
352,0.5325
353,0.5
354,0.5025
355,0.51
356,0.4775
357,0.49
358,0.495
359,0.5325
360,0.4925
361,0.5225
362,0.505
363,0.4775
364,0.48
365,0.5125
366,0.545
367,0.485
368,0.5275
369,0.4925
370,0.5075
371,0.52
372,0.4875
373,0.52
374,0.49
375,0.495
376,0.425
377,0.515
378,0.5225
379,0.4875
380,0.5125
381,0.515
382,0.4875
383,0.49
384,0.525
385,0.49
386,0.48
387,0.52
388,0.4875
389,0.515
390,0.515
391,0.4875
392,0.505
393,0.495
394,0.4875
395,0.5
396,0.5125
397,0.485
398,0.465
399,0.4875
400,0.5
401,0.53
402,0.485
403,0.4925
404,0.5
405,0.485
406,0.485
407,0.52
408,0.46
409,0.465
410,0.495
411,0.545
412,0.5475
413,0.515
414,0.53
415,0.55
416,0.4725
417,0.5275
418,0.4975
419,0.4875
420,0.485
421,0.5125
422,0.4675
423,0.5275
424,0.4825
425,0.5125
426,0.4775
427,0.525
428,0.49
429,0.4875
430,0.51
431,0.5
432,0.49
433,0.4575
434,0.4875
435,0.5125
436,0.5475
437,0.4825
438,0.53
439,0.535
440,0.5225
441,0.5075
442,0.5425
443,0.535
444,0.5075
445,0.485
446,0.54
447,0.49
448,0.515
449,0.4625
450,0.485
451,0.5025
452,0.465
453,0.45
454,0.495
455,0.45
456,0.48
457,0.505
458,0.4875
459,0.51
460,0.49
461,0.5325
462,0.5475
463,0.5225
464,0.485
465,0.48
466,0.5325
467,0.505
468,0.52
469,0.53
470,0.4925
471,0.53
472,0.495
473,0.5325
474,0.5
475,0.475
476,0.495
477,0.52
478,0.495
479,0.5425
480,0.525
481,0.505
482,0.4875
483,0.49
484,0.545
485,0.505
486,0.4575
487,0.505
488,0.5175
489,0.505
490,0.5025
491,0.525
492,0.5025
493,0.495
494,0.4925
495,0.5325
496,0.49
497,0.555
498,0.5225
499,0.49
500,0.4675
501,0.5125
502,0.4775
503,0.545
504,0.4975
505,0.48
506,0.5225
507,0.495
508,0.5275
509,0.5
510,0.475
511,0.5575
512,0.5225
513,0.4675
514,0.475
515,0.4925
516,0.45
517,0.475
518,0.5075
519,0.515
520,0.5125
521,0.525
522,0.465
523,0.5075
524,0.48
525,0.48
526,0.505
527,0.5325
528,0.48
529,0.51
530,0.53
531,0.5025
532,0.52
533,0.52
534,0.5
535,0.4725
536,0.48
537,0.465
538,0.47
539,0.5225
540,0.58
541,0.49
542,0.4825
543,0.505
544,0.4875
545,0.4925
546,0.505
547,0.47
548,0.475
549,0.455
550,0.505
551,0.5
552,0.495
553,0.54
554,0.51
555,0.4775
556,0.49
557,0.47
558,0.545
559,0.51
560,0.47
561,0.5125
562,0.4875
563,0.52
564,0.4975
565,0.485
566,0.515
567,0.495
568,0.465
569,0.495
570,0.52
571,0.535
572,0.4675
573,0.4925
574,0.5375
575,0.495
576,0.51
577,0.4775
578,0.45
579,0.54
580,0.49
581,0.4625
582,0.4725
583,0.49
584,0.5125
585,0.49
586,0.495
587,0.495
588,0.53
589,0.54
590,0.515
591,0.46
592,0.4825
593,0.51
594,0.475
595,0.495
596,0.49
597,0.5125
598,0.4925
599,0.5375
600,0.5375
601,0.52
602,0.44
603,0.48
604,0.515
605,0.55
606,0.535
607,0.49
608,0.51
609,0.49
610,0.52
611,0.5425
612,0.525
613,0.4975
614,0.505
615,0.49
616,0.495
617,0.495
618,0.485
