Generation,Population 1
1,0.095
2,0.0575
3,0.05
4,0.045
5,0.0425
6,0.0525
7,0.05
8,0.055
9,0.0375
10,0.0625
11,0.0425
12,0.07
13,0.0675
14,0.0425
15,0.0625
16,0.0475
17,0.0675
18,0.05
19,0.0325
20,0.045
21,0.0175
22,0.0525
23,0.055
24,0.045
25,0.035
26,0.0475
27,0.05
28,0.0575
29,0.0575
30,0.055
31,0.045
32,0.05
33,0.07
34,0.075
35,0.095
36,0.0625
37,0.1075
38,0.0675
39,0.0875
40,0.09
41,0.0725
42,0.0725
43,0.0725
44,0.0975
45,0.0625
46,0.0475
47,0.075
48,0.0575
49,0.045
50,0.0475
51,0.0525
52,0.0425
53,0.0425
54,0.0625
55,0.05
56,0.0625
57,0.0525
58,0.0625
59,0.05
60,0.0525
61,0.0375
62,0.0625
63,0.0575
64,0.07
65,0.06
66,0.07
67,0.08
68,0.065
69,0.06
70,0.0525
71,0.0775
72,0.0425
73,0.075
74,0.085
75,0.0475
76,0.0825
77,0.0675
78,0.1
79,0.095
80,0.0625
81,0.08
82,0.0675
83,0.0625
84,0.0775
85,0.0875
86,0.0575
87,0.08
88,0.045
89,0.035
90,0.045
91,0.0625
92,0.06
93,0.0525
94,0.0625
95,0.0775
96,0.0675
97,0.065
98,0.0925
99,0.045
100,0.065
101,0.08
102,0.0625
103,0.0575
104,0.06
105,0.0775
106,0.055
107,0.075
108,0.06
109,0.0525
110,0.0725
111,0.0775
112,0.0425
113,0.0725
114,0.065
115,0.09
116,0.065
117,0.075
118,0.09
119,0.1025
120,0.0825
121,0.0625
122,0.08
123,0.075
124,0.0825
125,0.07
126,0.08
127,0.05
128,0.0825
129,0.06
130,0.0925
131,0.1025
132,0.095
133,0.0975
134,0.0875
135,0.07
136,0.0775
137,0.0725
138,0.0825
139,0.0575
140,0.0575
141,0.0675
142,0.0925
143,0.08
144,0.0825
145,0.0875
146,0.075
147,0.09
148,0.1175
149,0.075
150,0.0675
151,0.09
152,0.0675
153,0.08
154,0.1025
155,0.0625
