Generation,Population 1,Population 2,Population 3,Population 4
1,0.6,0.66,0.7,0.68
2,0.75,0.5625,0.8,0.48333333333333334
3,0.6111111111111112,0.5681818181818182,0.631578947368421,0.65625
4,0.5172413793103449,0.5909090909090909,0.6785714285714286,0.5428571428571428
5,0.6285714285714286,0.5625,0.8076923076923077,0.5
6,0.65,0.6538461538461539,0.7352941176470589,0.5
7,0.7439024390243902,0.5,0.6666666666666666,0.5
8,0.6136363636363636,0.6,0.59375,0.5333333333333333
9,0.6125,0.8333333333333334,0.75,0.578125
10,0.6625,0.625,0.6153846153846154,0.5714285714285714
11,0.6973684210526315,0.6538461538461539,0.8846153846153846,0.6111111111111112
12,0.7027027027027027,0.5833333333333334,0.6666666666666666,0.5769230769230769
13,0.6666666666666666,0.5454545454545454,0.875,0.6585365853658537
14,0.5487804878048781,0.5,0.7142857142857143,0.5428571428571428
15,0.68,0.4375,0.6666666666666666,0.7222222222222222
16,0.7232142857142857,0.7142857142857143,0.6923076923076923,0.6458333333333334
17,0.6982758620689655,0.6875,0.8,0.8125
18,0.6016949152542372,0.8181818181818182,0.8571428571428571,0.782608695652174
19,0.675,0.8333333333333334,0.9,0.6304347826086957
20,0.6833333333333333,0.6923076923076923,0.875,0.6086956521739131
21,0.6779661016949152,0.8,0.8,0.7142857142857143
22,0.6271186440677966,0.8333333333333334,0.625,0.8421052631578947
23,0.7454545454545455,0.7,0.6,0.675
24,0.6153846153846154,0.7045454545454546,0.6666666666666666,0.6956521739130435
25,0.7352941176470589,0.6521739130434783,0.6666666666666666,0.8043478260869565
26,0.5192307692307693,0.5227272727272727,0.875,0.6136363636363636
27,0.6574074074074074,0.631578947368421,0.8333333333333334,0.7291666666666666
28,0.7767857142857143,0.5882352941176471,0.75,0.6956521739130435
29,0.6607142857142857,0.6739130434782609,1.0,0.7894736842105263
30,0.63,0.5384615384615384,0.3333333333333333,0.7619047619047619
31,0.6595744680851063,0.7419354838709677,0.5,0.7380952380952381
32,0.6428571428571429,0.603448275862069,0.0,0.6428571428571429
